Departure City,Arrival City,Date Leave,Date Return,Departure Time,Arrival Time,Company,Price,Scraping Date
HCM,HAN,06/02/2024,16/02/2024,19:40,21:50,VietJet Air,"6,180,000",27/12/2023
HCM,HAN,06/02/2024,16/02/2024,21:00,23:10,VietJet Air,"6,180,000",27/12/2023
HCM,HAN,06/02/2024,16/02/2024,21:40,23:50,VietJet Air,"6,180,000",27/12/2023
HCM,HAN,06/02/2024,16/02/2024,23:35,01:45,VietJet Air,"6,180,000",27/12/2023
HCM,HAN,06/02/2024,16/02/2024,23:50,01:55,VietJet Air,"6,180,000",27/12/2023
HCM,HAN,06/02/2024,16/02/2024,06:30,08:40,VietJet Air,"6,374,400",27/12/2023
HCM,HAN,06/02/2024,16/02/2024,08:05,10:15,VietJet Air,"6,374,400",27/12/2023
HCM,HAN,06/02/2024,16/02/2024,09:30,11:40,VietJet Air,"6,374,400",27/12/2023
HCM,HAN,06/02/2024,16/02/2024,10:10,00:20,VietJet Air,"6,374,400",27/12/2023
HCM,HAN,06/02/2024,16/02/2024,11:25,13:35,VietJet Air,"6,374,400",27/12/2023
HCM,HAN,06/02/2024,16/02/2024,00:55,15:05,VietJet Air,"6,374,400",27/12/2023
HCM,HAN,06/02/2024,16/02/2024,13:20,15:30,VietJet Air,"6,374,400",27/12/2023
HCM,HAN,06/02/2024,16/02/2024,14:25,16:35,VietJet Air,"6,374,400",27/12/2023
HCM,HAN,06/02/2024,16/02/2024,15:20,17:30,VietJet Air,"6,374,400",27/12/2023
HCM,HAN,06/02/2024,16/02/2024,15:30,17:40,VietJet Air,"6,374,400",27/12/2023
HCM,HAN,06/02/2024,16/02/2024,17:50,20:10,VietJet Air,"6,374,400",27/12/2023
HCM,HAN,06/02/2024,16/02/2024,02:35,04:40,Vietnam Airlines,"6,528,600",27/12/2023
HCM,HAN,06/02/2024,16/02/2024,05:00,07:05,Vietnam Airlines,"6,528,600",27/12/2023
HCM,HAN,06/02/2024,16/02/2024,05:00,07:20,Vietnam Airlines,"6,528,600",27/12/2023
HCM,HAN,06/02/2024,16/02/2024,06:00,08:10,Vietnam Airlines,"6,528,600",27/12/2023
HCM,HAN,06/02/2024,16/02/2024,06:15,08:25,Vietnam Airlines,"6,528,600",27/12/2023
HCM,HAN,06/02/2024,16/02/2024,08:00,10:10,Vietnam Airlines,"6,528,600",27/12/2023
HCM,HAN,06/02/2024,16/02/2024,09:00,11:20,Vietnam Airlines,"6,528,600",27/12/2023
HCM,HAN,06/02/2024,16/02/2024,10:00,00:10,Vietnam Airlines,"6,528,600",27/12/2023
HCM,HAN,06/02/2024,16/02/2024,11:00,13:15,Vietnam Airlines,"6,528,600",27/12/2023
HCM,HAN,06/02/2024,16/02/2024,00:00,14:10,Vietnam Airlines,"6,528,600",27/12/2023
HCM,HAN,06/02/2024,16/02/2024,13:00,15:10,Vietnam Airlines,"6,528,600",27/12/2023
HCM,HAN,06/02/2024,16/02/2024,14:00,16:15,Vietnam Airlines,"6,528,600",27/12/2023
HCM,HAN,06/02/2024,16/02/2024,15:00,17:10,Vietnam Airlines,"6,528,600",27/12/2023
HCM,HAN,06/02/2024,16/02/2024,15:35,17:45,Vietnam Airlines,"6,528,600",27/12/2023
